"CODGEO","Nb Pharmacies et parfumerie","Dynamique Entrepreneuriale","Dynamique Entrepreneuriale Service et Commerce","Synergie Médicale COMMUNE","Orientation Economique","Indice Fiscal Partiel","Score Fiscal","Indice Evasion Client","Score Evasion Client","Indice Synergie Médicale","Score Synergie Médicale","SEG Croissance POP","LIBGEO","REG","DEP","Nb Omnipraticiens BV","Nb Infirmiers Libéraux BV","Nb dentistes Libéraux BV","Nb pharmaciens Libéraux BV","Densité Médicale BV","Score équipement de santé BV","Indice Démographique","Score Démographique","Indice Ménages","Score Ménages","Population","Evolution Population","Evolution Pop %","Nb Ménages","Nb Résidences Principales","Nb propriétaire","Nb Logement","Nb Résidences Secondaires","Nb Log Vacants","Nb Occupants Résidence Principale","Nb Femme","Nb Homme","Nb Mineurs","Nb Majeurs","Nb Etudiants","Nb Entreprises Secteur Services","Nb Entreprises Secteur Commerce","Nb Entreprises Secteur Construction","Nb Entreprises Secteur Industrie","Nb Création Enteprises","Nb Création Industrielles","Nb Création Construction","Nb Création Commerces","Nb Création Services","Moyenne Revenus Fiscaux Départementaux","Moyenne Revenus Fiscaux Régionaux","Dep Moyenne Salaires Horaires","Dep Moyenne Salaires Cadre Horaires","Dep Moyenne Salaires Prof Intermédiaire Horaires","Dep Moyenne Salaires Employé Horaires","Dep Moyenne Salaires Ouvrié Horaires","Reg Moyenne Salaires Horaires","Reg Moyenne Salaires Cadre Horaires","Reg Moyenne Salaires Prof Intermédiaire Horaires","Reg Moyenne Salaires Employé Horaires","Reg Moyenne Salaires Ouvrié Horaires","Valeur ajoutée régionale","Urbanité Ruralité","Score Urbanité","Nb Atifs","Nb Actifs Salariés","Nb Actifs Non Salariés","Nb Logement Secondaire et Occasionnel","Nb Hotel","Capacité Hotel","Nb Camping","Capacité Camping","Dynamique Démographique BV","Taux étudiants","Taux Propriété","Dynamique Démographique INSEE","Capacité Fisc","Capacité Fiscale","Moyenne Revnus fiscaux","Taux Evasion Client","Nb Education, santé, action sociale","Nb Services personnels et domestiques","Nb Santé, action sociale","Nb Industries des biens intermédiaires","Nb de Commerce","Nb de Services aux particuliers","Nb institution de Education, santé, action sociale, administration","PIB Régionnal","SEG Environnement Démographique Obsolète","Score Croissance Population","Score Croissance Entrepreneuriale","Score VA Région","Score PIB","Environnement Démographique","Fidélité","SYN MEDICAL","Seg Cap Fiscale","Seg Dyn Entre","DYN SetC","CP"
"01027",0.0,121.0,65.0,134,"Bassin Urbain",101.93878,59.04139,0.0,0.0,134.66663,0.1615,"en croissance démographique","Balan","82","01",12,12,6,6,1.0,1,93.51621,0.07216,72.63231,0.04339,1534,124,8,482,481,359,509,10,18,1429,1372,1590,1871,1091,133,17.0,33.0,9.0,26.0,5.0,0.0,0.0,5.0,0.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,740.0,678.0,62.0,10.0,1.0,7.0,0.0,0.0,"Grande Ville",0,70,-14,131,131,11483.5,0,2.0,0.0,2.0,9364,9350,3372,15105,173681,"Com rurale < 2 000 m habts en croissance démographique",74.59016,0.05331,32.42578,33.83811,"Bassin Urbain en croissance démographique","Pop Sédentaire","Forte Synergie Médicale","Fiscalité moyenne","Dynamique Economique","Faible Dynamique Serv et Com",1
"01028",0.0,62.0,17.0,113,"Bassin Industriel",101.93878,59.04139,0.0,0.0,113.56216,0.13347,"en croissance démographique","Baneins","82","01",9,14,7,7,0.092859537,4,32.18811,0.02484,26.82272,0.01602,528,7,1,178,178,148,199,19,2,528,494,516,654,356,40,4.0,9.0,5.0,3.0,4.0,0.0,0.0,1.0,3.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,249.0,208.0,41.0,19.0,0.0,0.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,74,0,116,116,11483.5,0,1.0,0.0,1.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",71.72131,0.01585,32.42578,33.83811,"Bassin Industriel en croissance démographique","Pop Sédentaire","Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
"01029",0.0,59.0,19.0,122,"Bassin Urbain",101.93878,59.04139,0.0,0.0,122.60693,0.14548,"en croissance démographique","Beaupont","82","01",12,12,6,6,1.0,1,29.99347,0.02314,29.08306,0.01737,492,-17,-3,193,193,146,246,40,13,442,480,484,562,402,26,10.0,5.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,170.0,118.0,52.0,40.0,0.0,0.0,0.0,0.0,"Grande Ville",0,59,1,113,113,11483.5,0,1.0,1.0,2.0,9364,9350,3372,15105,173681,"Com rurale < 2 000 m habts en croissance démographique",70.08197,0.00173,32.42578,33.83811,"Bassin Urbain en croissance démographique","Pop Sédentaire","Forte Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
"01030",0.0,70.0,26.0,121,"Bassin Urbain",101.93878,59.04139,0.0,0.0,121.60196,0.14415,"en croissance démographique","Beauregard","82","01",12,12,6,6,1.0,1,49.74526,0.03838,46.26166,0.02763,816,74,9,307,304,137,336,12,20,811,768,824,1007,585,83,8.0,12.0,5.0,6.0,5.0,1.0,2.0,0.0,2.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com < 200 m habts",62.5,354.0,320.0,34.0,12.0,0.0,0.0,0.0,0.0,"Grande Ville",0,40,-8,119,119,11483.5,0,0.0,1.0,0.0,9364,9350,3372,15105,173681,"Com < 200 m habts en croissance démographique",75.0,0.00865,32.42578,33.83811,"Bassin Urbain en croissance démographique","Pop Sédentaire","Forte Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
"01031",0.0,276.0,159.0,147,"Bassin Urbain",101.93878,59.04139,0.0,0.0,147.73131,0.17885,"en croissance démographique","Bellignat","82","01",12,12,6,6,1.0,1,213.67296,0.16488,223.62312,0.13358,3505,378,10,1484,1471,469,1542,38,33,3477,3344,3476,4184,2636,385,70.0,54.0,15.0,102.0,12.0,2.0,2.0,3.0,5.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com < 50 m habts",50.0,1727.0,1594.0,133.0,38.0,1.0,35.0,0.0,0.0,"Grande Ville",0,30,-42,162,162,11483.5,0,14.0,6.0,14.0,9364,9350,3372,15105,173681,"Com < 50 m habts en croissance démographique",75.40984,0.04755,32.42578,33.83811,"Bassin Urbain en croissance démographique","Pop Sédentaire","Forte Synergie Médicale","Fiscalité moyenne","Dynamique Economique","Bonne Dynamique Entreprise Serv et Com",1
"01032",0.0,165.0,85.0,131,"Bassin Urbain",101.93878,59.04139,0.0,0.0,131.65171,0.1575,"en croissance démographique","Béligneux","82","01",12,12,6,6,1.0,1,158.19724,0.12207,128.83946,0.07696,2595,230,8,855,856,490,912,37,19,2594,2442,2546,3233,1755,190,34.0,32.0,22.0,34.0,14.0,2.0,1.0,1.0,10.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale > 2 000 habts",0.0,1115.0,1005.0,110.0,37.0,0.0,0.0,0.0,0.0,"Grande Ville",0,53,-25,143,143,11483.5,0,11.0,2.0,10.0,9364,9350,3372,15105,173681,"Com rurale > 2 000 habts en croissance démographique",74.59016,0.03314,32.42578,33.83811,"Bassin Urbain en croissance démographique","Pop Sédentaire","Forte Synergie Médicale","Fiscalité moyenne","Dynamique Economique","Faible Dynamique Serv et Com",1
"01033",0.0,591.0,689.0,228,"Bassin Résidentiel",101.93878,59.04139,496.91099,0.21243,229.13427,0.28696,"en croissance démographique","Bellegarde-sur-Valserine","82","01",17,9,10,10,0.067717063,2,663.14821,0.5117,682.02037,0.40741,10878,576,5,4526,4517,1756,5159,126,516,10656,10898,10238,12847,8289,755,264.0,270.0,83.0,83.0,42.0,3.0,15.0,6.0,18.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com < 50 m habts",37.5,4382.0,4033.0,349.0,126.0,4.0,101.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,34,-66,245,245,11483.5,4,62.0,31.0,73.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",73.36066,0.12622,32.42578,33.83811,"Bassin Résidentiel en croissance démographique","Pop Mobile","Forte Synergie Médicale","Fiscalité moyenne","Dynamique Economique","Bonne Dynamique Entreprise Serv et Com",1
"01034",0.0,523.0,673.0,283,"Bassin Résidentiel",101.93878,59.04139,248.45549,0.10621,284.40789,0.36037,"en croissance démographique","Belley","82","01",26,21,10,10,0.100905129,3,487.82056,0.37641,482.95963,0.2885,8002,271,3,3205,3210,1266,3719,181,328,7454,8078,7524,9508,6094,519,288.0,236.0,36.0,103.0,54.0,3.0,10.0,18.0,23.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com < 10 m habts",25.0,3097.0,2777.0,320.0,181.0,2.0,47.0,0.0,0.0,"3.Accroissement par excédent migratoire",0,34,-29,204,204,11483.5,2,84.0,30.0,93.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",72.54098,0.25417,32.42578,33.83811,"Bassin Résidentiel en croissance démographique","Pop Mobile","Forte Synergie Médicale","Fiscalité moyenne","Dynamique Economique","Bonne Dynamique Entreprise Serv et Com",1
"01035",0.0,51.0,5.0,119,"Bassin Urbain",101.93878,59.04139,0.0,0.0,119.59201,0.14148,"en croissance démographique","Belleydoux","82","01",12,12,6,6,1.0,1,16.88657,0.01303,17.93204,0.01071,277,1,0,119,119,91,189,62,8,277,252,278,320,210,15,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,137.0,118.0,19.0,62.0,0.0,0.0,0.0,0.0,"Grande Ville",0,48,0,112,112,11483.5,0,1.0,0.0,0.0,9364,9350,3372,15105,173681,"Com rurale < 2 000 m habts en croissance démographique",71.31148,0.00346,32.42578,33.83811,"Bassin Urbain en croissance démographique","Pop Sédentaire","Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
"01036",0.0,57.0,7.0,121,"Bassin Résidentiel",101.93878,59.04139,0.0,0.0,121.60196,0.14415,"en croissance démographique","Belmont-Luthézieu","82","01",26,21,10,10,0.100905129,3,24.38493,0.01882,25.31582,0.01512,400,-19,-4,168,168,121,324,131,25,394,380,392,461,311,24,3.0,3.0,5.0,2.0,3.0,0.0,1.0,0.0,2.0,12509,10458,11.41034483,21.9637931,12.55862069,8.743103448,9.268965517,11.87302231,21.78782961,12.7040568,8.7831643,9.301419878,86957.45836,"Com rurale < 2 000 m habts",0.0,154.0,129.0,25.0,131.0,1.0,15.0,0.0,0.0,"3.Accroissement par excédent migratoire",0,37,1,113,113,11483.5,0,0.0,0.0,0.0,9364,9350,3372,15105,173681,"Zone rurale en croissance démographique",69.67213,0.00519,32.42578,33.83811,"Bassin Résidentiel en croissance démographique","Pop Sédentaire","Forte Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com",1
