"Code département","Département","Code circonscription","Circonscription","Numéro de panneau","Libellé abrégé de liste","Libellé de la liste","Code nuance de liste","Nuance de liste","Tête de liste","Ordre","Sexe","Nom sur le bulletin de vote","Prénom sur le bulletin de vote","Nationalité","Code personnalité","CC"
"01","Ain","01156","Faramans",1.0,"CONTINUONS ENSEMBLE POUR NOTRE VILLAGE","CONTINUONS ENSEMBLE POUR NOTRE VILLAGE","","","OUI",1.0,"M","BROCHIER","Gérard","Française","",""
"01","Ain","01157","Fareins",1.0,"Fareins patrimoine et avenir","Fareins patrimoine et avenir","","","OUI",1.0,"M","DUMOULIN","Yves","Française","","OUI"
"01","Ain","01158","Farges",1.0,"Bien Vivre à Farges","Bien  Vivre à Farges","","","OUI",1.0,"F","GRAZIOTTI","Monique","Française","","OUI"
"01","Ain","01159","Feillens",1.0,"FEILENS DYNAMISME ET AMBITION","FEILLENS DYNAMISME ET AMBITION","","","OUI",1.0,"M","DELALANDE","Arnaud","Française","","OUI"
"01","Ain","01159","Feillens",2.0,"FEILLENS NOUVEL ELAN,UNIS POUR L AVENIR","FEILLENS NOUVEL ELAN,UNIS POUR L AVENIR","","","OUI",1.0,"M","DJEBABRA","Maxime","Française","","OUI"
"01","Ain","01160","Ferney-Voltaire",1.0,"Une Energie Nouvelle Pour Ferney","Une Energie Nouvelle Pour Ferney","LDVC","Liste divers centre","OUI",1.0,"M","PHILIPPS","Pierre-Marie","Française","","OUI"
"01","Ain","01160","Ferney-Voltaire",2.0,"VALEURS COMMUNES","VALEURS COMMUNES","LDVC","Liste divers centre","OUI",1.0,"M","RAPHOZ","Daniel","Française","","OUI"
"01","Ain","01160","Ferney-Voltaire",3.0,"FERNEY EN GRAND","FERNEY EN GRAND","LECO","Liste écologiste","OUI",1.0,"M","KASTLER","Jean-Loup","Française","","OUI"
"01","Ain","01160","Ferney-Voltaire",4.0,"Le Bon Sens","Le BON  SENS","LDIV","Liste Divers","OUI",1.0,"M","LANDREAU","Christian","Française","","OUI"
"01","Ain","01162","Flaxieu",1.0,"UNION POUR FLAXIEU","UNION POUR FLAXIEU","","","OUI",1.0,"M","BAL","Serge","Française","",""
"01","Ain","01163","Foissiat",1.0,"FOISSIAT, CONTINUONS LA DYNAMIQUE","FOISSIAT, CONTINUONS LA DYNAMIQUE","","","OUI",1.0,"M","PICARD","Jean-Luc","Française","","OUI"
"01","Ain","01163","Foissiat",2.0,"ENSEMBLE POUR FOISSIAT","ENSEMBLE POUR FOISSIAT","","","OUI",1.0,"M","THÊTE","Patrice","Française","","OUI"
"01","Ain","01165","Francheleins",1.0,"VIVONS FRANCHELEINS","VIVONS FRANCHELEINS","","","OUI",1.0,"M","LUX","Jean-Michel","Française","","OUI"
"01","Ain","01166","Frans",1.0,"PRESERVER FRANS POUR DEMAIN","PRESERVER FRANS POUR DEMAIN","","","OUI",1.0,"M","SANCHEZ","Guy","Française","","OUI"
"01","Ain","01167","Garnerans",1.0,"CONSTRUIRE L'AVENIR ENSEMBLE, ICI A GARNERANS","CONSTRUIRE L'AVENIR ENSEMBLE, ICI A GARNERANS","","","OUI",1.0,"M","SUAREZ","Rene","Française","",""
"01","Ain","01169","Genouilleux",1.0,"GENOUILLEUX OBLIGE","GENOUILLEUX OBLIGE","","","OUI",1.0,"M","REIGNIER","Alain","Française","",""
"01","Ain","01170","Béard-Géovreissiat",1.0,"LA FORCE DU COLLECTIF POUR BEARD GEOVREISSIAT","LA FORCE DU COLLECTIF POUR BEARD GEOVREISSIAT","","","OUI",1.0,"M","COMTET","Laurent","Française","","OUI"
"01","Ain","01171","Géovreisset",1.0,"Liste apolitique pour la prospérité et l'indépendance de la commune","Liste apolitique pour la prospérité et l'indépendance de la commune","","","OUI",1.0,"M","BERNARD","Christophe","Française","",""
"01","Ain","01173","Gex",1.0,"MIEUX VIVRE À GEX","MIEUX VIVRE À GEX","LDIV","Liste Divers","OUI",1.0,"M","BOCQUET","Vincent","Française","","OUI"
"01","Ain","01173","Gex",2.0,"GEX AVENIR","GEX AVENIR","LDVD","Liste divers droite","OUI",1.0,"M","DUNAND","Patrice","Française","","OUI"
"01","Ain","01174","Giron",1.0,"Giron 2026","Giron 2026","","","OUI",1.0,"M","MOINE","Florian","Française","",""
"01","Ain","01175","Gorrevod",1.0,"PROCHES DE VOUS, ENGAGES POUR TOUS","PROCHES DE VOUS, ENGAGES POUR TOUS","","","OUI",1.0,"M","BADET","Bernard","Française","",""
"01","Ain","01175","Gorrevod",2.0,"MIEUX VIVRE A GORREVOD","MIEUX VIVRE A GORREVOD","","","OUI",1.0,"M","DESMARIS","Christian","Française","",""
"01","Ain","01177","Grand-Corent",1.0,"Ensemble pour Grand-Corent","Ensemble pour Grand-Corent","","","OUI",1.0,"M","RAQUIN","Benjamin","Française","",""
"01","Ain","01179","Grièges",1.0,"ECRIVONS L'AVENIR DE GRIEGES ENSEMBLE","ECRIVONS L'AVENIR DE GRIEGES ENSEMBLE","","","OUI",1.0,"F","GREMY","Annick","Française","","OUI"
"01","Ain","01180","Grilly",1.0,"GRILLY ENTRE TERRE ET HORIZON","GRILLY ENTRE TERRE ET HORIZON","","","OUI",1.0,"F","DUPENLOUP","Christine","Française","",""
"01","Ain","01181","Groissiat",1.0,"NOS VALEURS, NOTRE AVENIR, GROISSIAT","NOS VALEURS, NOTRE AVENIR, GROISSIAT","","","OUI",1.0,"F","DEGUERRY","Patricia","Française","","OUI"
"01","Ain","01183","Guéreins",1.0,"VIVONS GUEREINS","VIVONS GUEREINS","","","OUI",1.0,"M","GALLO","Jean-Charles","Française","","OUI"
"01","Ain","01184","Hautecourt-Romanèche",1.0,"HORIZONS REUNIS","HORIZONS REUNIS","","","OUI",1.0,"M","BATAILLE","Jean-Robert","Française","",""
"01","Ain","01184","Hautecourt-Romanèche",2.0,"Expérience et Jeunesse pour Hautecourt-Romanèche","Expérience et Jeunesse pour Hautecourt-Romanèche","","","OUI",1.0,"F","GIVORD","Nathalie","Française","",""
"01","Ain","01185","Plateau d'Hauteville",1.0,"PLATEAU D'HAUTEVILLE AMBITION COMMUNE","PLATEAU D'HAUTEVILLE AMBITION COMMUNE","LDVD","Liste divers droite","OUI",1.0,"M","EMIN","Philippe","Française","","OUI"
"01","Ain","01185","Plateau d'Hauteville",2.0,"NOUVEAU SOUFFLE","NOUVEAU SOUFFLE","LDVG","Liste divers gauche","OUI",1.0,"M","MACLET","Bernard","Française","","OUI"
"01","Ain","01187","Haut Valromey",1.0,"RACINES ET AVENIR - HAUT VALROMEY","RACINES ET AVENIR - HAUT VALROMEY","","","OUI",1.0,"M","VUAILLAT","Alain","Française","",""
"01","Ain","01188","Illiat",1.0,"Avançons Ensemble pour ILLIAT","Avançons Ensemble pour ILLIAT","","","OUI",1.0,"M","LABALME","Richard","Française","",""
"01","Ain","01189","Injoux-Génissiat",1.0,"en route, ensemble !","en route, ensemble !","","","OUI",1.0,"M","MOSSAZ","Denis","Française","","OUI"
"01","Ain","01190","Innimond",1.0,"LISTE SORTANTE","LISTE SORTANTE","","","OUI",1.0,"M","GARDIEN","Serge","Française","",""
"01","Ain","01191","Izenave",1.0,"Thiery Druet","Thiery Druet","","","OUI",1.0,"M","DRUET","Thiery","Française","",""
"01","Ain","01192","Izernore",1.0,"Un Avenir Responsable Pour Izernore","Un Avenir Responsable Pour Izernore","","","OUI",1.0,"M","MOINE","Michel","Française","","OUI"
"01","Ain","01193","Izieu",1.0,"UNIS POUR IZIEU","UNIS POUR IZIEU","","","OUI",1.0,"M","MARTIN-BARBAZ","Denis","Française","",""
"01","Ain","01194","Jassans-Riottier",1.0,"UN NOUVEL ELAN POUR JASSANS-RIOTTIER","UN NOUVEL ELAN POUR JASSANS-RIOTTIER","LDVD","Liste divers droite","OUI",1.0,"M","COLOMBIER","Jean-François","Française","","OUI"
"01","Ain","01194","Jassans-Riottier",2.0,"JASSANS-RIOTTIER AGIR ET RÉALISER","JASSANS-RIOTTIER AGIR ET RÉALISER","LDIV","Liste Divers","OUI",1.0,"M","REVERCHON","Jean-Pierre","Française","","OUI"
"01","Ain","01194","Jassans-Riottier",3.0,"JASSANS-RIOTTIER - REUSSIR AVEC VOUS","JASSANS-RIOTTIER - REUSSIR AVEC VOUS","LDVC","Liste divers centre","OUI",1.0,"F","SEGURA","Sylvie","Française","","OUI"
"01","Ain","01194","Jassans-Riottier",4.0,"JASSANS-RIOTTIER VILLE D'AVENIR","JASSANS-RIOTTIER VILLE D'AVENIR","LDVD","Liste divers droite","OUI",1.0,"F","REIX","Marie-Laure","Française","","OUI"
"01","Ain","01195","Jasseron",1.0,"Ensemble pour l'avenir de Jasseron... Poursuivons","Ensemble pour l'avenir de Jasseron... Poursuivons","","","OUI",1.0,"M","GOBERT","Sébastien","Française","","OUI"
"01","Ain","01195","Jasseron",2.0,"UNIS POUR JASSERON","UNIS POUR JASSERON","","","OUI",1.0,"M","MUCKE","Gérard","Française","","OUI"
"01","Ain","01196","Jayat",1.0,"""POUR L'AVENIR DE JAYAT""","""POUR L'AVENIR DE JAYAT""","","","OUI",1.0,"M","MOREL","Mickaël","Française","","OUI"
"01","Ain","01197","Journans",1.0,"JOURNANS ENSEMBLE","JOURNANS ENSEMBLE","","","OUI",1.0,"M","PERRON","Yves","Française","",""
"01","Ain","01198","Joyeux",1.0,"ENSEMBLE POUR JOYEUX","ENSEMBLE POUR JOYEUX","","","OUI",1.0,"M","MATHY","Joël","Française","",""
"01","Ain","01199","Jujurieux",1.0,"JUJURIEUX UN AVENIR A PARTAGER","JUJURIEUX UN AVENIR A PARTAGER","","","OUI",1.0,"M","MONGHAL","Frédéric","Française","","OUI"
"01","Ain","01200","Labalme",1.0,"Vivre à Labalme","Vivre à Labalme","","","OUI",1.0,"M","COQUILLE","Thierry","Française","",""
"01","Ain","01202","Lagnieu",1.0,"AGIR POUR LAGNIEU 2026","AGIR POUR LAGNIEU 2026","LDIV","Liste Divers","OUI",1.0,"M","GANDON","Jérome","Française","","OUI"
"01","Ain","01202","Lagnieu",2.0,"CAP SUR LAGNIEU","CAP SUR LAGNIEU","LDIV","Liste Divers","OUI",1.0,"M","NANCHI","Alexandre","Française","","OUI"
"01","Ain","01203","Laiz",1.0,"Laiz en action pour demain","Laiz en action pour demain","","","OUI",1.0,"M","SCHAUVING","Sébastien","Française","","OUI"
"01","Ain","01204","Le Poizat-Lalleyriat",1.0,"UN VILLAGE POUR TOUS","UN VILLAGE POUR TOUS","","","OUI",1.0,"F","TRONCY","Christine","Française","",""
"01","Ain","01206","Lantenay",1.0,"Bien vivre à Lantenay","Bien vivre à Lantenay","","","OUI",1.0,"M","PERTREUX","Anthony","Française","",""
"01","Ain","01207","Lapeyrouse",1.0,"Lapeyrouse notre village","Lapeyrouse notre village","","","OUI",1.0,"M","DUBOST","Rémi","Française","",""
"01","Ain","01208","Lavours",1.0,"LAVOURS, NOTRE VILLAGE","LAVOURS, NOTRE VILLAGE","","","OUI",1.0,"F","BOUILLIEN","Céline","Française","",""
"01","Ain","01209","Léaz",1.0,"L,G,L, 3 Villages pour une commune","Léaz, Gresin,Longeray, 3 Villages pour une communepour une commune","","","OUI",1.0,"M","RAISIN","François","Française","",""
"01","Ain","01210","Lélex",1.0,"Lelex: notre village, notre avenir","Lelex: notre village, notre avenir","","","OUI",1.0,"M","LEVRIER","Patrick","Française","",""
"01","Ain","01210","Lélex",2.0,"Ensemble pour Lélex","Ensemble pour Lélex","","","OUI",1.0,"M","GROSSIORD","Roger","Française","",""
"01","Ain","01211","Lent",1.0,"LENT 2026","LENT 2026","","","OUI",1.0,"M","CRISTIN","Yves","Française","","OUI"
"01","Ain","01212","Lescheroux",1.0,"LESCHEROUX, NOTRE AVENIR COMMUN","LESCHEROUX, NOTRE AVENIR COMMUN","","","OUI",1.0,"F","PETITJEAN","Dominique","Française","",""
"01","Ain","01213","Leyment",1.0,"BIEN VIVRE À LEYMENT","BIEN VIVRE À LEYMENT","","","OUI",1.0,"M","KLINGLER","Lionel Thierry","Française","","OUI"
"01","Ain","01214","Leyssard",1.0,"Leyssard ensemble","Leyssard ensemble","","","OUI",1.0,"M","MOURLEVAT","Michel","Française","",""
"01","Ain","01215","Surjoux-Lhopital",1.0,"SURJOUX-LHOPITAL, agir ensemble pour notre village","SURJOUX-LHOPITAL, agir ensemble pour notre village","","","OUI",1.0,"M","CONSANI","Bruno","Française","",""
"01","Ain","01215","Surjoux-Lhopital",2.0,"Pour la Continuité, Dans l'Intêret général","Pour la Continuité, Dans l'Intêret général","","","OUI",1.0,"M","MALFAIT","Frédéric","Française","",""
"01","Ain","01216","Lhuis",1.0,"AGIR POUR LHUIS","AGIR POUR LHUIS","","","OUI",1.0,"M","GINET","Emmanuel","Française","",""
"01","Ain","01219","Lompnas",1.0,"LONAS 2026","LONAS 2026","","","OUI",1.0,"M","JOUX","Alexandre","Française","",""
"01","Ain","01224","Loyettes",1.0,"ENSEMBLE,CRÉONS DEMAIN","ENSEMBLE,CRÉONS DEMAIN","LDIV","Liste Divers","OUI",1.0,"M","GAGNE","Jean Pierre","Française","","OUI"
"01","Ain","01225","Lurcy",1.0,"LURCY, NOUVEL ELAN","LURCY, NOUVEL ELAN","","","OUI",1.0,"M","BISIGNANO","Domenico","Française","",""
"01","Ain","01227","Magnieu",1.0,"5 VILLAGES,1 AMBITION COMMUNE","5 VILLAGES,1 AMBITION COMMUNE","","","OUI",1.0,"M","BERNARD","René","Française","",""
"01","Ain","01228","Maillat",1.0,"maillat 2026","maillat 2026","","","OUI",1.0,"M","DUCRET","Jean Cyrille","Française","",""
"01","Ain","01229","Malafretaz",1.0,"ENSEMBLE, CONTINUONS D AGIR POUR NOTRE COMMUNE","ENSEMBLE, CONTINUONS D AGIR POUR NOTRE COMMUNE","","","OUI",1.0,"M","LEROUX","Gary","Française","","OUI"
"01","Ain","01230","Mantenay-Montlin",1.0,"MANTENAY ENSEMBLE","MANTENAY ENSEMBLE","","","OUI",1.0,"F","FONTAINE","Celine","Française","",""
"01","Ain","01231","Manziat",1.0,"POUR MANZIAT","POUR MANZIAT","","","OUI",1.0,"M","LARDET","Denis","Française","","OUI"
"01","Ain","01232","Marboz",1.0,"PASSIONNEMENT MARBOZ # 2","PASSIONNEMENT MARBOZ # 2","","","OUI",1.0,"F","MOIRAUD","Christelle","Française","","OUI"
"01","Ain","01233","Marchamp",1.0,"MARCHAMP 2026","MARCHAMP 2026","","","OUI",1.0,"M","PERRET","Christophe","Française","",""
"01","Ain","01234","Marignieu",1.0,"ENSEMBLE POUR MARIGNIEU","ENSEMBLE POUR MARIGNIEU","","","OUI",1.0,"M","DEMANGE","Pascal","Française","",""
"01","Ain","01235","Marlieux",1.0,"INITIATIVES POUR MARLIEUX 2026","INITIATIVES POUR MARLIEUX 2026","","","OUI",1.0,"F","PIPAZ","Muriel","Française","","OUI"
"01","Ain","01235","Marlieux",2.0,"Nouvel Avenir pour Marlieux","Nouvel Avenir pour Marlieux","","","OUI",1.0,"F","DESSERTINE","Chantal","Française","","OUI"
"01","Ain","01236","Marsonnas",1.0,"MARSONNAS, VOTRE VILLAGE !","MARSONNAS, VOTRE VILLAGE !","","","OUI",1.0,"F","THEVENARD","Sandrine","Française","","OUI"
"01","Ain","01237","Martignat",1.0,"Martignat notre commune, notre avenir","Martignat notre commune, notre avenir","","","OUI",1.0,"F","PECHOUX","Marilyn","Française","","OUI"
"01","Ain","01238","Massieux",1.0,"unis pour Massieux 2026","unis pour Massieux 2026","","","OUI",1.0,"M","TESSIAUT","Aurélien","Française","","OUI"
"01","Ain","01238","Massieux",2.0,"Massieux, continuons ensemble","Massieux, continuons ensemble","","","OUI",1.0,"M","NABETH","Patrick","Française","","OUI"
"01","Ain","01239","Massignieu-de-Rives",1.0,"MASSIGNIEU, ENSEMBLE POUR DEMAIN","MASSIGNIEU, ENSEMBLE POUR DEMAIN","","","OUI",1.0,"M","VINETTE","Didier","Française","",""
"01","Ain","01240","Matafelon-Granges",1.0,"ensemble pour matafelon-granges","ensemble pour matafelon-granges","","","OUI",1.0,"M","GLAD","Damien","Française","",""
"01","Ain","01241","Meillonnas",1.0,"Ensemble pour MEILLONNAS","Ensemble pour MEILLONNAS","","","OUI",1.0,"M","ARRAGON","Jean-Pierre","Française","","OUI"
"01","Ain","01242","Mérignat",1.0,"Mérignat En Commun","Mérignat En Commun","","","OUI",1.0,"M","TERRAL","Louis","Française","",""
"01","Ain","01243","Messimy-sur-Saône",1.0,"POUR UN VILLAGE VIVANT ET SOLIDAIRE","POUR UN VILLAGE VIVANT ET SOLIDAIRE","","","OUI",1.0,"M","VILLARET","François","Française","","OUI"
"01","Ain","01243","Messimy-sur-Saône",2.0,"MESSIMY-SUR-SAONE, NOTRE VILLAGE DE VIE","MESSIMY-SUR-SAONE, NOTRE VILLAGE DE VIE","","","OUI",1.0,"M","BEGUET","Christian","Française","","OUI"
"01","Ain","01244","Meximieux",1.0,"MEXIMIEUX UN AVENIR ENSEMBLE","MEXIMIEUX UN AVENIR ENSEMBLE","LDVG","Liste divers gauche","OUI",1.0,"M","HABI","Samir","Française","","OUI"
"01","Ain","01244","Meximieux",2.0,"HORIZON 2026-2032 DES PROJETS POUR MEXIMIEUX","HORIZON 2026-2032 DES PROJETS POUR MEXIMIEUX","LDIV","Liste Divers","OUI",1.0,"M","RAMEL","Jean-Luc","Française","","OUI"
"01","Ain","01245","Bohas-Meyriat-Rignat",1.0,"ENSEMBLE POUR L'UNITÉ DE NOTRE COMMUNE","ENSEMBLE POUR L'UNITÉ DE NOTRE COMMUNE","","","OUI",1.0,"F","CARRY","Nicole","Française","",""
"01","Ain","01245","Bohas-Meyriat-Rignat",2.0,"NOS VILLAGES, NOTRE AVENIR, UNIS POUR AVANCER","NOS VILLAGES, NOTRE AVENIR, UNIS POUR AVANCER","","","OUI",1.0,"M","DEGAND","Pascal","Française","",""
"01","Ain","01246","Mézériat",1.0,"AGIR ENSEMBLE MEZERIAT","AGIR ENSEMBLE MEZERIAT","","","OUI",1.0,"M","DUPUIT","Guy","Française","","OUI"
"01","Ain","01247","Mijoux",1.0,"Mijoux, Cap sur l'Avenir","Mijoux, Cap sur l'Avenir","","","OUI",1.0,"M","LEGAY","Guillaume","Française","",""
"01","Ain","01248","Mionnay",1.0,"MIONNAY 2026 : Préserver notre village, préparer l'avenir","MIONNAY 2026 : Préserver notre village, préparer l'avenir","","","OUI",1.0,"F","FLEURY","Emilie","Française","","OUI"
"01","Ain","01249","Miribel",1.0,"CAP SUR DEMAIN - MIRIBEL - LE MAS RILLIER - LES ECHETS","CAP SUR DEMAIN - MIRIBEL - LE MAS RILLIER - LES ECHETS","LDVC","Liste divers centre","OUI",1.0,"F","DESCOURS","Nathalie","Française","","OUI"
"01","Ain","01249","Miribel",2.0,"MIRIBEL C'EST VOUS","MIRIBEL C'EST VOUS","LDIV","Liste Divers","OUI",1.0,"M","BOYET","Jérôme","Française","","OUI"
"01","Ain","01249","Miribel",3.0,"MIRIBEL AU COEUR","MIRIBEL AU COEUR","LDIV","Liste Divers","OUI",1.0,"F","VIRICEL","Sylvie","Française","","OUI"
"01","Ain","01249","Miribel",4.0,"Miribel, responsable et ambitieuse","Miribel, responsable et ambitieuse","LDVD","Liste divers droite","OUI",1.0,"M","NAZARET","Tanguy","Française","","OUI"
"01","Ain","01250","Misérieux",1.0,"ENSEMBLE CONTINUONS D'AGIR POUR MISERIEUX","ENSEMBLE CONTINUONS D'AGIR POUR MISERIEUX","","","OUI",1.0,"M","AUMONIER","Gabriel","Française","","OUI"
"01","Ain","01250","Misérieux",2.0,"UN NOUVEL ELAN AVEC LES MISELLANS","UN NOUVEL ELAN AVEC LES MISELLANS","","","OUI",1.0,"M","TOSCANI","Julien Louis","Française","","OUI"
"01","Ain","01252","Mogneneins",1.0,"Un nouvel élan pour Mogneneins","Un nouvel élan pour Mogneneins","","","OUI",1.0,"M","DEVAUX","Patrick","Française","",""
"01","Ain","01252","Mogneneins",2.0,"MOGNENEINS ENSEMBLE POUR DEMAIN","MOGNENEINS ENSEMBLE POUR DEMAIN","","","OUI",1.0,"M","CHAMPION","Jean-Pierre","Française","",""
