"Code département","Département","Code circonscription","Circonscription","Numéro de panneau","Libellé abrégé de liste","Libellé de la liste","Code nuance de liste","Nuance de liste","Tête de liste","Ordre","Sexe","Nom sur le bulletin de vote","Prénom sur le bulletin de vote","Nationalité","Code personnalité","CC"
"01","Ain","01254","Montagnat",1.0,"VIVRE ENSEMBLE","VIVRE ENSEMBLE","","","OUI",1.0,"M","CHANEL","Patrick","Française","","OUI"
"01","Ain","01255","Montagnieu",1.0,"ENSEMBLE, CULTIVONS L'AVENIR","ENSEMBLE, CULTIVONS L'AVENIR","","","OUI",1.0,"F","MAGNIEN","Geraldine","Française","",""
"01","Ain","01255","Montagnieu",2.0,"UNIS À MONTAGNIEU","UNIS À MONTAGNIEU","","","OUI",1.0,"M","VOLLAT","Franck","Française","",""
"01","Ain","01257","Montanges",1.0,"MONTANGES unis pour l'avenir","MONTANGES unis pour l'avenir","","","OUI",1.0,"F","BENOIT-GODET","Denise","Française","",""
"01","Ain","01258","Montceaux",1.0,"ENSEMBLE, UN NOUVEAU SOUFFLE POUR MONTCEAUX","ENSEMBLE, UN NOUVEAU SOUFFLE POUR MONTCEAUX","","","OUI",1.0,"M","MARTIN","Dominique","Française","","OUI"
"01","Ain","01258","Montceaux",2.0,"MONTCEAUX, DEMAIN","MONTCEAUX, DEMAIN","","","OUI",1.0,"F","CHMARA","Patricia","Française","","OUI"
"01","Ain","01259","Montcet",1.0,"MONTCET NOTRE VILLAGE","MONTCET NOTRE VILLAGE","","","OUI",1.0,"M","TARPIN","Franck","Française","",""
"01","Ain","01260","Le Montellier",1.0,"ENSEMBLE POUR LE MONTELLIER","ENSEMBLE POUR LE MONTELLIER","","","OUI",1.0,"M","MARTIN","Patrice","Française","",""
"01","Ain","01261","Monthieux",1.0,"ENSEMBLE FAISONS VIVRE MONTHIEUX","ENSEMBLE FAISONS VIVRE MONTHIEUX","","","OUI",1.0,"M","PAILLASSON","Philippe","Française","",""
"01","Ain","01262","Montluel",1.0,"l'avenir de Montluel avec vous","l'avenir de Montluel avec vous","LDVD","Liste divers droite","OUI",1.0,"M","BELAIR","Philippe","Française","","OUI"
"01","Ain","01262","Montluel",2.0,"MIEUX VIVRE A MONTLUEL","MIEUX VIVRE A MONTLUEL","LDIV","Liste Divers","OUI",1.0,"F","GALLAGA","Isabelle","Française","","OUI"
"01","Ain","01263","Montmerle-sur-Saône",1.0,"UNIS POUR MONTMERLE-SUR-SAONE","UNIS POUR MONTMERLE-SUR-SAONE","LDIV","Liste Divers","OUI",1.0,"M","RUTSCHI","Didier","Française","","OUI"
"01","Ain","01264","Montracol",1.0,"CONTINUONS ENSEMBLE POUR MONTRACOL","CONTINUONS ENSEMBLE POUR MONTRACOL","","","OUI",1.0,"M","LAFONT","David","Française","","OUI"
"01","Ain","01265","Montréal-la-Cluse",1.0,"BIEN VIVRE A MONTREAL LA CLUSE","BIEN VIVRE A MONTREAL LA CLUSE","LDVD","Liste divers droite","OUI",1.0,"M","DUFOUR","Patrick","Française","","OUI"
"01","Ain","01266","Montrevel-en-Bresse",1.0,"S'ENGAGER PLUS LOIN !","S'ENGAGER PLUS LOIN !","","","OUI",1.0,"M","BREVET","Jean-Yves","Française","","OUI"
"01","Ain","01267","Nurieux-Volognat",1.0,"POUR NOTRE COMMUNE AUJOURD'HUI ET DEMAIN","POUR NOTRE COMMUNE AUJOURD'HUI ET DEMAIN","","","OUI",1.0,"M","PERNET","Philippe","Française","",""
"01","Ain","01268","Murs-et-Gélignieux",1.0,"POUR CONTINUER A BIEN VIVRE A MURS ET  GELIGNIEUX","POUR CONTINUER A BIEN VIVRE A MURS ET GELIGNIEUX","","","OUI",1.0,"M","VALLIN","Pierre","Française","",""
"01","Ain","01269","Nantua",1.0,"NANTUA NOTRE VILLE 2026","NANTUA NOTRE VILLE 2026","LDVD","Liste divers droite","OUI",1.0,"M","THOMASSET","Jean-Pascal","Française","","OUI"
"01","Ain","01269","Nantua",2.0,"Nantua Le Réveil","Nantua Le Réveil","LDVD","Liste divers droite","OUI",1.0,"F","DEBUS","Séverine Nathalie Jacqueline","Française","","OUI"
"01","Ain","01272","Neuville-les-Dames",1.0,"Viv(r)e Neuville ensemble","Viv(r)e Neuville ensemble","","","OUI",1.0,"M","JOSSERAND","Aurélien","Française","","OUI"
"01","Ain","01272","Neuville-les-Dames",2.0,"NEUVILLE - CONTINUONS ENSEMBLE","NEUVILLE - CONTINUONS ENSEMBLE","","","OUI",1.0,"M","MORANDAS","Patrice","Française","","OUI"
"01","Ain","01273","Neuville-sur-Ain",1.0,"NEUVILLE SUR AIN, Au coeur de demain","NEUVILLE SUR AIN, Au coeur de demain","","","OUI",1.0,"M","SICARD","Alain","Française","","OUI"
"01","Ain","01273","Neuville-sur-Ain",2.0,"ENSEMBLE POUR NEUVILLE","ENSEMBLE POUR NEUVILLE","","","OUI",1.0,"M","CURT","Georges","Française","","OUI"
"01","Ain","01274","Les Neyrolles",1.0,"Les Neyrolles c'est nous avec vous !","Les Neyrolles c'est nous avec vous !","","","OUI",1.0,"F","DESJOURS","Emilie","Française","",""
"01","Ain","01275","Neyron",1.0,"VIVRE NEYRON","VIVRE NEYRON","","","OUI",1.0,"F","FRANCOIS","Christine","Française","","OUI"
"01","Ain","01276","Niévroz",1.0,"NIEVROZ DYNAMIQUE","NIEVROZ DYNAMIQUE","","","OUI",1.0,"M","DÉTRÉ","Jean-Christophe","Française","","OUI"
"01","Ain","01276","Niévroz",2.0,"UN ESPRIT DE VILLAGE - AGIR POUR NIÉVROZ","UN ESPRIT DE VILLAGE - AGIR POUR NIÉVROZ","","","OUI",1.0,"F","FOURNIER","Michelle","Française","","OUI"
"01","Ain","01277","Nivollet-Montgriffon",1.0,"LISTE 1","LISTE 1","","","OUI",1.0,"M","SIMONNET","Emmanuel","Française","",""
"01","Ain","01279","Oncieu",1.0,"ONCIEU 2026","ONCIEU 2026","","","OUI",1.0,"M","JACQUEMIN","Denis","Française","",""
"01","Ain","01280","Ordonnaz",1.0,"ENGAGÉS POUR ORDONNAZ","ENGAGÉS POUR ORDONNAZ","","","OUI",1.0,"M","REYMOND-BABOLAT","Laurent","Française","",""
"01","Ain","01281","Ornex",1.0,"Vivre Ornex, vivre ensemble","Vivre Ornex, vivre ensemble","LDIV","Liste Divers","OUI",1.0,"M","HERVO","Jérôme","Française","","OUI"
"01","Ain","01281","Ornex",2.0,"J'aime ORNEX","J'aime ORNEX","LDVC","Liste divers centre","OUI",1.0,"M","GUICHARD","Olivier","Française","","OUI"
"01","Ain","01282","Outriaz",1.0,"Ensemble pour Outriaz","Ensemble pour Outriaz","","","OUI",1.0,"M","ROY","Jean-François","Française","",""
"01","Ain","01282","Outriaz",2.0,"UNIS POUR OUTRIAZ","UNIS POUR OUTRIAZ","","","OUI",1.0,"M","LANGLOIS","Frédéric","Française","",""
"01","Ain","01283","Oyonnax",1.0,"AVANCONS ENSEMBLE POUR OYONNAX","AVANCONS ENSEMBLE POUR OYONNAX","LDVD","Liste divers droite","OUI",1.0,"M","HARMEL","Laurent","Française","","OUI"
"01","Ain","01283","Oyonnax",2.0,"OYONNAX EN COMMUN","OYONNAX EN COMMUN","LDVG","Liste divers gauche","OUI",1.0,"M","MONNIER","Loïc","Française","","OUI"
"01","Ain","01283","Oyonnax",3.0,"BOOSTE OYONNAX","BOOSTE OYONNAX","LDIV","Liste Divers","OUI",1.0,"M","VIRY","Joel","Française","","OUI"
"01","Ain","01283","Oyonnax",4.0,"TOUS UNIS POUR OYONNAX","TOUS UNIS POUR OYONNAX","LDVD","Liste divers droite","OUI",1.0,"M","MARTINEZ","Julien","Française","","OUI"
"01","Ain","01284","Ozan",1.0,"TOUS ENSEMBLE POUR OZAN","TOUS ENSEMBLE POUR OZAN","","","OUI",1.0,"M","CATHERIN","Gilles","Française","",""
"01","Ain","01285","Parcieux",1.0,"UN AVENIR POUR PARCIEUX","UN AVENIR POUR PARCIEUX","","","OUI",1.0,"F","SKRZYPCZAK","Annie","Française","","OUI"
"01","Ain","01286","Parves et Nattages",1.0,"AGIR POUR TOUS AVEC TOUS","AGIR POUR TOUS AVEC TOUS","","","OUI",1.0,"M","FAQUIN","Michel","Française","",""
"01","Ain","01288","Péron",1.0,"IMAGINONS PÉRON","IMAGINONS PÉRON","","","OUI",1.0,"F","FERROLLIET","Francoise","Française","","OUI"
"01","Ain","01289","Péronnas",1.0,"PERONNAS AVEC VOUS","PERONNAS AVEC VOUS","LDVD","Liste divers droite","OUI",1.0,"F","CEDILEAU","Hélène","Française","","OUI"
"01","Ain","01289","Péronnas",2.0,"ALTERNATIVE PERONNAS 2026 - DES PROJETS PARTAGES","ALTERNATIVE PERONNAS 2026 - DES PROJETS PARTAGES","LDVG","Liste divers gauche","OUI",1.0,"M","FAYARD","Pascal","Française","","OUI"
"01","Ain","01290","Pérouges",1.0,"UNIS POUR PÉROUGES","UNIS POUR PÉROUGES","","","OUI",1.0,"F","MICOLAS","Nathalie","Française","","OUI"
"01","Ain","01291","Perrex",1.0,"Ensemble pour Perrex","Ensemble pour Perrex","","","OUI",1.0,"M","VIGHETTI","Jean-Jacques","Française","",""
"01","Ain","01293","Peyriat",1.0,"PEYRIAT 2026","PEYRIAT 2026","","","OUI",1.0,"M","GUENRO","Sylvain","Française","",""
"01","Ain","01294","Peyrieu",1.0,"VIVRE PEYRIEU","VIVRE PEYRIEU","","","OUI",1.0,"M","COCHONAT","Pierre","Française","",""
"01","Ain","01295","Peyzieux-sur-Saône",1.0,"TOUS ENSEMBLE AUJOURD'HUI POUR PREPARER L'AVENIR","TOUS ENSEMBLE AUJOURD'HUI POUR PREPARER L'AVENIR","","","OUI",1.0,"M","COTTEY","Romain","Française","",""
"01","Ain","01296","Pirajoux",1.0,"BIEN VIVRE A PIRAJOUX","BIEN VIVRE A PIRAJOUX","","","OUI",1.0,"F","FERLET","Cécile","Française","",""
"01","Ain","01297","Pizay",1.0,"CONTINUONS ENSEMBLE POUR FAIRE RAYONNER PIZAY","CONTINUONS ENSEMBLE POUR FAIRE RAYONNER PIZAY","","","OUI",1.0,"M","GRIMAND","Marc","Française","",""
"01","Ain","01298","Plagne",1.0,"PLAGNE 2026","PLAGNE 2026","","","OUI",1.0,"M","DINOCHEAU","Philippe","Française","",""
"01","Ain","01299","Le Plantay",1.0,"A LE PLANTAY, IL FAIT BON VIVRE ENSEMBLE","A LE PLANTAY, IL FAIT BON VIVRE ENSEMBLE","","","OUI",1.0,"M","SARONI","Patrick","Française","",""
"01","Ain","01301","Polliat",1.0,"Polliat, au coeur de nos engagements","Polliat, au coeur de nos engagements","","","OUI",1.0,"M","BIENVENU","Bernard","Française","","OUI"
"01","Ain","01302","Pollieu",1.0,"POLLIEU-LEYZIEU-LAC DE BARTERAND 2026 CONTINUER ENSEMBLE","POLLIEU-LEYZIEU-LAC DE BARTERAND 2026 CONTINUER ENSEMBLE","","","OUI",1.0,"M","BRUN","Jean-Philippe","Française","",""
"01","Ain","01302","Pollieu",2.0,"AVENIR PARTAGÉ","AVENIR PARTAGÉ","","","OUI",1.0,"F","DE LORENZI","Laurence","Française","",""
"01","Ain","01303","Poncin",1.0,"Poncin Demain","Poncin Demain","","","OUI",1.0,"M","MUIA","Jean-Christophe","Française","","OUI"
"01","Ain","01303","Poncin",2.0,"Poncin - Agir Ensemble","Poncin - Agir Ensemble","","","OUI",1.0,"M","FOURNIER","Christophe","Française","","OUI"
"01","Ain","01304","Pont-d'Ain",1.0,"PONT D'AIN DONNONS VIE A DEMAIN","PONT D'AIN DONNONS VIE A DEMAIN","","","OUI",1.0,"M","BOURDEAUDUCQ","Vincent","Française","","OUI"
"01","Ain","01305","Pont-de-Vaux",1.0,"PONT-DE-VAUX ENSEMBLE","PONT-DE-VAUX ENSEMBLE","","","OUI",1.0,"M","PAUGET","Yves","Française","","OUI"
"01","Ain","01306","Pont-de-Veyle",1.0,"PONT-DE-VEYLE, ENSEMBLE POUR L'AVENIR","PONT-DE-VEYLE, ENSEMBLE POUR L'AVENIR","","","OUI",1.0,"M","MICHEL","Luc","Française","","OUI"
"01","Ain","01307","Port",1.0,"ESPRIT VILLAGE","ESPRIT VILLAGE","","","OUI",1.0,"F","CHANTRAN","Catherine","Française","",""
"01","Ain","01308","Pougny",1.0,"POUGNY Poursuivre ensemble","POUGNY Poursuivre ensembe","","","OUI",1.0,"M","PHILIPPE","Hervé","Française","",""
"01","Ain","01309","Pouillat",1.0,"BIEN VIVRE A POUILLAT","BIEN VIVRE A POUILLAT","","","OUI",1.0,"M","REVEL","Jean Pierre","Française","",""
"01","Ain","01310","Prémeyzel",1.0,"BIEN VIVRE À PREMEYZEL","BIEN VIVRE À PREMEYZEL","","","OUI",1.0,"M","VIGHETTO","Sylvain","Française","",""
"01","Ain","01311","Prémillieu",1.0,"ENSEMBLE POUR PREMILLIEU","ENSEMBLE POUR PREMILLIEU","","","OUI",1.0,"M","TORRION","Pascal","Française","",""
"01","Ain","01313","Prévessin-Moëns",1.0,"Agir ensemble pour Prévessin-Moëns","Agir ensemble pour Prévessin-Moëns","LDVD","Liste divers droite","OUI",1.0,"M","CHAUVET","Bernard","Française","","OUI"
"01","Ain","01313","Prévessin-Moëns",2.0,"Prévessin-Moëns Demain Ensemble Autrement","Prévessin-Moëns Demain Ensemble Autrement","LECO","Liste écologiste","OUI",1.0,"M","UBAUD","Cyril","Française","","OUI"
"01","Ain","01314","Priay",1.0,"UN RENOUVEAU POUR PRIAY","UN RENOUVEAU POUR PRIAY","","","OUI",1.0,"M","MAJORCZYK","Gilles","Française","","OUI"
"01","Ain","01314","Priay",2.0,"Continuons ensemble pour Priay","Continuons ensemble pour Priay","","","OUI",1.0,"F","CHARMETANT","Fabienne","Française","","OUI"
"01","Ain","01317","Ramasse",1.0,"AGIR ENSEMBLE","AGIR ENSEMBLE","","","OUI",1.0,"M","PASSAQUET","Christian","Française","",""
"01","Ain","01318","Rancé",1.0,"RANCÉ en mouvement, continuons ensemble","RANCÉ en mouvement, continuons ensemble","","","OUI",1.0,"M","BIHLER","Fabien","Française","",""
"01","Ain","01319","Relevant",1.0,"Un nouvel élan pour Relevant","Un nouvel élan pour Relevant","","","OUI",1.0,"M","FERRAIS-DAMOUR","Damien","Française","",""
"01","Ain","01320","Replonges",1.0,"REPLONGES POUR TOUS","REPLONGES POUR TOUS","LLR","Liste des Républicains","OUI",1.0,"M","VERNOUX","Bertrand","Française","","OUI"
"01","Ain","01321","Revonnas",1.0,"REVONNAS DEMAIN","REVONNAS DEMAIN","","","OUI",1.0,"M","ROCHE","Patrick","Française","",""
"01","Ain","01322","Reyrieux",1.0,"REYRIEUX DEMAIN","REYRIEUX DEMAIN","LDVC","Liste divers centre","OUI",1.0,"F","BAUDOUX","Cécile","Française","","OUI"
"01","Ain","01322","Reyrieux",2.0,"POURSUIVONS L'ACTION !","POURSUIVONS L'ACTION !","LDIV","Liste Divers","OUI",1.0,"F","BONTEMPS-HESDIN","Carole","Française","","OUI"
"01","Ain","01322","Reyrieux",3.0,"REUSSIR REYRIEUX","REUSSIR REYRIEUX","LDVC","Liste divers centre","OUI",1.0,"M","BABAD","Marcel","Française","","OUI"
"01","Ain","01323","Reyssouze",1.0,"VIVR'REYSSOUZE","VIVR'REYSSOUZE","","","OUI",1.0,"M","ROUDAUT","Dominique","Française","",""
"01","Ain","01325","Rignieux-le-Franc",1.0,"QUINZE POUR TOUS","QUINZE POUR TOUS","","","OUI",1.0,"M","THOMAZET","Fabien","Française","","OUI"
"01","Ain","01328","Romans",1.0,"CONTINUONS ENSEMBLE POUR ROMANS","CONTINUONS ENSEMBLE POUR ROMANS","","","OUI",1.0,"M","PERRADIN","Laurent","Française","",""
"01","Ain","01329","Rossillon",1.0,"ROSSILLON","ROSSILLON","","","OUI",1.0,"M","COUILLOUD","Jean-Yves Christian","Française","",""
"01","Ain","01331","Saint-Alban",1.0,"ENSEMBLE POUR SAINT ALBAN","ENSEMBLE POUR SAINT ALBAN","","","OUI",1.0,"F","DE VECCHI","Béatrice","Française","",""
"01","Ain","01332","Saint-André-de-Bâgé",1.0,"Une équipe qui agit, un village qui avance","Une équipe qui agit, un village qui avance","","","OUI",1.0,"M","PLENARD","Philippe","Française","",""
"01","Ain","01333","Saint-André-de-Corcy",1.0,"NOTRE VILLAGE, NOTRE AVENIR","NOTRE VILLAGE, NOTRE AVENIR","","","OUI",1.0,"M","LEFEVER","Claude","Française","","OUI"
"01","Ain","01333","Saint-André-de-Corcy",2.0,"ICI & MAINTENANT 2026","ICI & MAINTENANT 2026","","","OUI",1.0,"M","LOREAU","Ludovic","Française","","OUI"
"01","Ain","01334","Saint-André-d'Huiriat",1.0,"UNIS POUR NOTRE VILLAGE","UNIS POUR NOTRE VILLAGE","","","OUI",1.0,"M","DOUVRES","Dorian","Française","",""
"01","Ain","01335","Saint-André-le-Bouchoux",1.0,"Ensemble pour Saint André le Bouchoux","Ensemble pour Saint André le Bouchoux","","","OUI",1.0,"M","HAUPERT","Frédéric","Française","",""
"01","Ain","01336","Saint-André-sur-Vieux-Jonc",1.0,"AVEC VOUS, CONSTRUISONS L'AVENIR","AVEC VOUS, CONSTRUISONS L'AVENIR","","","OUI",1.0,"F","PIOTTE","Christine","Française","","OUI"
"01","Ain","01337","Saint-Bénigne",1.0,"S'ENGAGER POUR SAINT-BENIGNE","S'ENGAGER POUR SAINT-BENIGNE","","","OUI",1.0,"F","UNIA","Emily","Française","","OUI"
"01","Ain","01338","Groslée-Saint-Benoit",1.0,"UN VILLAGE VIVANT, POUR UN AVENIR PARTAGÉ","UN VILLAGE VIVANT, POUR UN AVENIR PARTAGÉ","","","OUI",1.0,"F","DE VILLA","Justine","Française","","OUI"
"01","Ain","01339","Saint-Bernard",1.0,"SAINT-BERNARD C'EST VOUS","SAINT-BERNARD C'EST VOUS","","","OUI",1.0,"M","VIENOT","Frederic","Française","","OUI"
"01","Ain","01339","Saint-Bernard",2.0,"Un village uni pour demain","Un village uni pour demain","","","OUI",1.0,"F","TERACOL","Bélinda","Française","","OUI"
"01","Ain","01342","Sainte-Croix",1.0,"CONTINUONS D'AGIR POUR NOTRE VILLAGE","CONTINUONS D'AGIR POUR NOTRE VILLAGE","","","OUI",1.0,"F","GENEVOIS MEITRE","Sylvie","Française","",""
"01","Ain","01342","Sainte-Croix",2.0,"ENSEMBLE POUR SAINTE CROIX","ENSEMBLE POUR SAINTE CROIX","","","OUI",1.0,"F","FALZON","Jacqueline","Française","",""
"01","Ain","01343","Saint-Cyr-sur-Menthon",1.0,"ENSEMBLE, CONSTRUISONS UN NOUVEL ELAN POUR DEMAIN","ENSEMBLE, CONSTRUISONS UN NOUVEL ELAN POUR DEMAIN","","","OUI",1.0,"M","CHAGNARD","Florian","Française","","OUI"
"01","Ain","01343","Saint-Cyr-sur-Menthon",2.0,"SAINT CYR AU COEUR DE NOS ENGAGEMENTS","SAINT CYR AU COEUR DE NOS ENGAGEMENTS","","","OUI",1.0,"F","PALLE","Karine","Française","","OUI"
"01","Ain","01344","Saint-Denis-lès-Bourg",1.0,"SAINT DENIS ENSEMBLE","SAINT DENIS ENSEMBLE","LDVG","Liste divers gauche","OUI",1.0,"M","FAUVET","Guillaume","Française","","OUI"
"01","Ain","01345","Saint-Denis-en-Bugey",1.0,"ENSEMBLE, AGISSONS POUR DEMAIN","ENSEMBLE, AGISSONS POUR DEMAIN","","","OUI",1.0,"F","CAUWET-DELBARRE","Valérie","Française","","OUI"
"01","Ain","01346","Saint-Didier-d'Aussiat",1.0,"Ensemble pour Saint Didier","Ensemble pour Saint Didier","","","OUI",1.0,"M","PERROT","Dominique","Française","",""
"01","Ain","01347","Saint-Didier-de-Formans",1.0,"SAINT-DIDIER AVANT TOUT","SAINT-DIDIER AVANT TOUT","","","OUI",1.0,"M","VALLOS","Frederic","Française","","OUI"
"01","Ain","01348","Saint-Didier-sur-Chalaronne",1.0,"SAINT-DIDIER-UNI, L'AVENIR S'INVENTE ICI !","SAINT-DIDIER-UNI, L'AVENIR S'INVENTE ICI !","","","OUI",1.0,"M","DUMAY","Renaud","Française","","OUI"
"01","Ain","01349","Saint-Eloi",1.0,"CONTINUONS ENSEMBLE","CONTINUONS ENSEMBLE","","","OUI",1.0,"M","CHAMPAULT","Jehan-Benoît","Française","",""
"01","Ain","01349","Saint-Eloi",2.0,"ENSEMBLE POUR L'AVENIR DE SAINT ELOI","ENSEMBLE POUR L'AVENIR DE SAINT ELOI","","","OUI",1.0,"M","CHAPITEAU","Franck","Française","",""
"01","Ain","01350","Saint-Etienne-du-Bois",1.0,"ALAIN CHAPUIS 2026","ALAIN CHAPUIS 2026","","","OUI",1.0,"M","CHAPUIS","Alain","Française","","OUI"
"01","Ain","01351","Saint-Etienne-sur-Chalaronne",1.0,"Agissons ensemble pour un village vivant et durable","Agissons ensemble pour un village vivant et durable","","","OUI",1.0,"M","FAUVAIN","Gaëtan","Française","","OUI"
"01","Ain","01352","Saint-Etienne-sur-Reyssouze",1.0,"Collectif Saint Etienne sur Reyssouze","Collectif Saint Etienne sur Reyssouze","","","OUI",1.0,"F","THEVENARD","Martine","Française","",""
"01","Ain","01353","Sainte-Euphémie",1.0,"UN NOUVEL ELAN POUR SAINTE-EUPHEMIE","UN NOUVEL ELAN POUR SAINTE-EUPHEMIE","","","OUI",1.0,"M","GENIQUET","Emmanuel","Française","","OUI"
"01","Ain","01354","Saint-Genis-Pouilly",1.0,"Pour Saint-Genis-Pouilly","Pour Saint-Genis-Pouilly","LDIV","Liste Divers","OUI",1.0,"F","DURAND","Sylvie","Française","","OUI"
"01","Ain","01354","Saint-Genis-Pouilly",2.0,"Saint Genis Pouilly notre commune, notre avenir","Saint Genis Pouilly notre commune,notre avenir","LDVC","Liste divers centre","OUI",1.0,"M","CATHERIN","Gilles","Française","","OUI"
"01","Ain","01354","Saint-Genis-Pouilly",3.0,"Vision Commun Saint-Genis-Pouilly","Vision Commune Saint-Genis-Pouilly","LDVG","Liste divers gauche","OUI",1.0,"M","BERTRAND","Hubert","Française","","OUI"
"01","Ain","01355","Saint-Genis-sur-Menthon",1.0,"Vivre Saint-Genis demain","Vivre Saint-Genis demain","","","OUI",1.0,"M","GREFFET","Christophe","Française","",""
"01","Ain","01356","Saint-Georges-sur-Renon",1.0,"POUR SAINT GEORGES SUR RENON","POUR SAINT GEORGES SUR RENON","","","OUI",1.0,"F","PERI","Sonia","Française","",""
"01","Ain","01357","Saint-Germain-de-Joux",1.0,"un nouvel élan pour saint germain de joux","un nouvel élan pour saint germain de joux","","","OUI",1.0,"M","BERTRAND","Benjamin","Française","",""
"01","Ain","01357","Saint-Germain-de-Joux",2.0,"PRESERVER NOTRE VILLAGE","PRESERVER NOTRE VILLAGE, CONSTRUIRE DEMAIN","","","OUI",1.0,"M","DELACHENAL","Yves","Française","",""
"01","Ain","01358","Saint-Germain-les-Paroisses",1.0,"AVEC VOUS POUR SAINT GERMAIN","AVEC VOUS POUR SAINT GERMAIN","","","OUI",1.0,"M","CASTIN","Régis","Française","",""
"01","Ain","01359","Saint-Germain-sur-Renon",1.0,"BIEN VIVRE A SAINT GERMAIN SUR RENON","BIEN VIVRE A SAINT GERMAIN SUR RENON","","","OUI",1.0,"M","MONIER","Christophe","Française","",""
"01","Ain","01360","Saint-Jean-de-Gonville",1.0,"L'unité au coeur de St Jean","L'UNITÉ AU COEUR DE ST JEAN","","","OUI",1.0,"M","BRULHART","Michel","Française","","OUI"
"01","Ain","01361","Saint-Jean-de-Niost",1.0,"Saint-Jean toujours L'esprit Village","Saint-Jean toujours L'esprit Village","","","OUI",1.0,"F","DALMAZ","Béatrice","Française","","OUI"
"01","Ain","01362","Saint-Jean-de-Thurigneux",1.0,"VIVRE A SAINT JEAN, ENSEMBLE","VIVRE A SAINT JEAN, ENSEMBLE","","","OUI",1.0,"M","BERTHOMIEU","Stephane","Française","",""
"01","Ain","01363","Saint-Jean-le-Vieux",1.0,"Un nouvel élan pour Saint-Jean","Un nouvel élan pour Saint-Jean","","","OUI",1.0,"M","MUGNIER","David","Française","","OUI"
"01","Ain","01363","Saint-Jean-le-Vieux",2.0,"Saint Jean notre village, notre avenir","Saint Jean notre village, notre avenir","","","OUI",1.0,"M","MAROQUENNE","Bernard","Française","","OUI"
"01","Ain","01364","Saint-Jean-sur-Reyssouze",1.0,"Saint-Jean-sur-Reyssouze, l'avenir ensemble","Saint-Jean-sur-Reyssouze, l'avenir ensemble","","","OUI",1.0,"F","COURTOIS","Sandrine","Française","",""
"01","Ain","01365","Saint-Jean-sur-Veyle",1.0,"NOTRE COMMMUNE : UN BIEN COMMUN","NOTRE COMMMUNE : UN BIEN COMMUN","","","OUI",1.0,"F","RENOUD-LYAT","Agnès","Française","","OUI"
"01","Ain","01366","Sainte-Julie",1.0,"POUR UN VILLAGE QUI NOUS RASSEMBLE","POUR UN VILLAGE QUI NOUS RASSEMBLE","","","OUI",1.0,"M","CHAPPELLAZ","Lionel","Française","","OUI"
"01","Ain","01367","Saint-Julien-sur-Reyssouze",1.0,"UN VILLAGE, UNE EQUIPE, UN AVENIR","UN VILLAGE, UNE EQUIPE, UN AVENIR","","","OUI",1.0,"F","LIGERON","Nathalie","Française","",""
"01","Ain","01368","Saint-Julien-sur-Veyle",1.0,"POUR UN VILLAGE VIVANT ET SOLIDAIRE","POUR UN VILLAGE VIVANT ET SOLIDAIRE","","","OUI",1.0,"M","REVOL","Serge","Française","",""
"01","Ain","01369","Saint-Just",1.0,"BIEN VIVRE A SAINT JUST","BIEN VIVRE A SAINT JUST","","","OUI",1.0,"M","LEVET","Patrick","Française","",""
"01","Ain","01370","Saint-Laurent-sur-Saône",1.0,"AIMER SAINT LAURENT","AIMER SAINT LAURENT","","","OUI",1.0,"M","DOUSSOT","Jacques","Française","","OUI"
"01","Ain","01371","Saint-Marcel",1.0,"SAINT MARCEL CAP 2032","SAINT MARCEL CAP 2032","","","OUI",1.0,"M","PETRONE","Dominique","Française","","OUI"
"01","Ain","01371","Saint-Marcel",2.0,"MIEUX VIVRE ENSEMBLE DANS NOTRE VILLAGE","MIEUX VIVRE ENSEMBLE DANS NOTRE VILLAGE","","","OUI",1.0,"M","NOUET","Jacky","Française","","OUI"
"01","Ain","01372","Saint-Martin-de-Bavel",1.0,"LA CONTINUITÉ","LA CONTINUITÉ","","","OUI",1.0,"M","VINCENT","Xavier","Française","",""
"01","Ain","01373","Saint-Martin-du-Frêne",1.0,"CAP 2026, POUR CONSTRUIRE L'AVENIR","CAP 2026, POUR CONSTRUIRE L'AVENIR","","","OUI",1.0,"M","TURC","Dominique","Française","","OUI"
"01","Ain","01373","Saint-Martin-du-Frêne",2.0,"Ensemble pour une nouvelle dynamique","Ensemble pour une nouvelle dynamique","","","OUI",1.0,"F","LINES","Eveline","Française","","OUI"
"01","Ain","01374","Saint-Martin-du-Mont",1.0,"SAINT-MARTIN EN MOUVEMENT","SAINT-MARTIN EN MOUVEMENT","","","OUI",1.0,"F","LEGOUGE","Françoise","Française","","OUI"
"01","Ain","01375","Saint-Martin-le-Châtel",1.0,"Ensemble à St Martin","Ensemble à St Martin","","","OUI",1.0,"F","DUBOIS","Sandrine","Française","",""
"01","Ain","01376","Saint-Maurice-de-Beynost",1.0,"UNE COMMUNE, UNE ÉQUIPE, UN AVENIR","UNE COMMUNE, UNE ÉQUIPE, UN AVENIR","LDVG","Liste divers gauche","OUI",1.0,"M","GOUBET","Pierre","Française","","OUI"
"01","Ain","01378","Saint-Maurice-de-Gourdans",1.0,"VILLAGE VIVANT","VILLAGE VIVANT","","","OUI",1.0,"M","CHAZEAUBENIT","Rémi","Française","","OUI"
